dialect,standard,region
좋으이더,좋네요,경상도
이쁘이더,예쁘네요,경상도
우짜꼬,어쩌지,경상도
힘들데이,힘드네요,경상도
맛나데이,맛있네요,경상도
지기네,최고다,경상도
기가막히데이,기가막히네요,경상도
졸라게좋다,정말좋다,경상도
우왕굳,우와좋다,경상도
미친거아이다,정신나간거아니야,경상도
짜증나죽겄다,짜증나죽겠다,경상도
사그라들어삐라,가라앉아버려라,경상도
뻔뻔하이,뻔뻔하네,경상도
섬찟하이,소름돋네,경상도
개운하이,상쾌해요,경상도
부끄럽데이,부끄럽네요,경상도
창피하이더,창피하네요,경상도
재밌데이,재밌네요,경상도
심심하이,심심해요,경상도
느글느글하이더,역겹네요,경상도
버뜩버뜩하이,덜렁거리네요,경상도
떨리이더,떨리네요,경상도
겁나데이,무섭네요,경상도
도찐개찐아이가,비슷비슷하잖아,경상도
무신소리고,무슨말이야,경상도
야들야들하이,부드럽네요,경상도
딱딱하이,단단하네요,경상도
끈적하이,끈적하네요,경상도
말랑하이,말랑하네요,경상도
쩔어부러따,끝내줬다,경상도
